split,qid,n_images,total_visual_tokens,per_image_tokens
test,666,1,108,108
test,667,1,525,525
test,668,1,16,16
test,669,1,16,16
test,670,1,16,16
test,671,1,192,192
test,672,0,0,
test,673,0,0,
test,674,0,0,
test,675,1,16,16
test,676,1,16,16
test,677,1,192,192
test,678,1,16,16
test,679,1,192,192
test,680,1,16,16
test,681,1,192,192
test,682,1,192,192
test,683,1,16,16
test,684,1,48,48
test,685,1,16,16
test,686,1,1320,1320
test,687,1,192,192
test,688,1,108,108
test,689,1,304,304
test,690,1,950,950
test,691,1,16,16
test,692,1,16,16
test,693,1,16,16
test,694,1,108,108
test,695,1,120,120
test,696,1,304,304
test,697,1,16,16
test,698,1,36,36
test,699,1,120,120
test,700,1,560,560
test,701,1,192,192
test,702,1,525,525
test,703,1,16,16
test,704,1,84,84
test,705,0,0,
test,706,1,192,192
test,707,1,1430,1430
test,708,1,108,108
test,709,1,192,192
test,710,1,1008,1008
test,711,1,192,192
test,712,1,108,108
test,713,1,108,108
test,714,0,0,
test,715,1,120,120
test,716,0,0,
test,717,1,1406,1406
test,718,1,120,120
test,719,1,286,286
test,720,1,16,16
test,721,1,16,16
test,722,1,63,63
test,723,1,30,30
test,724,1,192,192
test,725,1,12,12
test,726,1,120,120
test,727,1,1435,1435
test,728,1,486,486
test,729,1,725,725
test,730,1,16,16
test,731,1,1430,1430
test,732,1,144,144
test,733,1,1444,1444
test,734,1,144,144
test,735,1,1419,1419
test,736,1,192,192
test,737,1,192,192
test,738,1,120,120
test,739,1,368,368
test,740,1,16,16
test,741,1,189,189
test,742,1,108,108
test,743,1,192,192
test,744,1,35,35
test,745,0,0,
test,746,1,192,192
test,747,1,16,16
test,748,1,238,238
test,749,1,16,16
test,750,1,238,238
test,751,1,20,20
test,752,1,16,16
test,753,1,560,560
test,754,0,0,
test,755,1,280,280
test,756,1,108,108
test,757,1,120,120
test,758,1,216,216
test,759,0,0,
test,760,0,0,
test,761,1,1428,1428
test,762,1,256,256
test,763,1,16,16
test,764,1,208,208
test,765,1,120,120
test,766,0,0,
test,767,1,16,16
test,768,1,192,192
test,769,1,16,16
test,770,1,16,16
test,771,1,192,192
test,772,1,192,192
test,773,1,108,108
test,774,1,16,16
test,775,1,525,525
test,776,1,176,176
test,777,0,0,
test,778,1,192,192
test,779,0,0,
test,780,1,108,108
test,781,1,224,224
test,782,1,120,120
test,783,1,192,192
test,784,1,144,144
test,785,1,96,96
test,786,1,132,132
test,787,1,192,192
test,788,1,192,192
test,789,1,96,96
test,790,1,256,256
test,791,1,16,16
test,792,1,16,16
test,793,1,192,192
test,794,0,0,
test,795,1,280,280
test,796,1,192,192
test,797,1,1445,1445
test,798,1,16,16
test,799,1,240,240
test,800,1,192,192
test,801,1,108,108
test,802,1,120,120
test,803,1,560,560
test,804,1,16,16
test,805,1,192,192
test,806,1,96,96
test,807,1,16,16
test,808,1,108,108
test,809,1,525,525
test,810,1,819,819
test,811,0,0,
test,812,1,224,224
test,813,1,120,120
test,814,1,35,35
test,815,1,16,16
test,816,1,192,192
test,817,1,16,16
test,818,1,1400,1400
test,819,0,0,
test,820,1,192,192
test,821,1,525,525
test,822,1,120,120
test,823,1,208,208
test,824,1,192,192
test,825,0,0,
test,826,1,208,208
test,827,1,238,238
test,828,1,189,189
test,829,1,304,304
test,830,1,266,266
test,831,1,256,256
test,832,1,132,132
test,833,1,108,108
test,834,1,16,16
test,835,1,16,16
test,836,1,8,8
test,837,1,120,120
test,838,1,16,16
test,839,1,208,208
test,840,1,224,224
test,841,1,144,144
test,842,1,16,16
test,843,1,120,120
test,844,1,748,748
test,845,1,192,192
test,846,0,0,
test,847,1,16,16
test,848,1,240,240
test,849,1,90,90
test,850,1,1404,1404
test,851,1,192,192
test,852,1,16,16
test,853,1,108,108
test,854,1,16,16
test,855,1,165,165
test,856,0,0,
test,857,1,108,108
test,858,0,0,
test,859,1,108,108
test,860,1,16,16
test,861,1,80,80
test,862,1,16,16
test,863,1,208,208
test,864,1,70,70
test,865,1,16,16
test,866,1,192,192
test,867,1,16,16
test,868,1,946,946
test,869,1,16,16
test,870,1,690,690
test,871,1,192,192
test,872,1,192,192
test,873,1,108,108
test,874,1,16,16
test,875,1,192,192
test,876,1,16,16
test,877,1,192,192
test,878,1,208,208
test,879,1,16,16
test,880,1,16,16
test,881,1,40,40
test,882,1,666,666
test,883,1,16,16
test,884,1,16,16
test,885,1,16,16
test,886,1,108,108
test,887,1,304,304
test,888,1,16,16
test,889,1,16,16
test,890,1,120,120
test,891,1,16,16
test,892,1,374,374
test,893,1,108,108
test,894,1,286,286
test,895,1,192,192
test,896,1,560,560
test,897,1,234,234
test,898,1,16,16
test,899,1,108,108
test,900,1,16,16
test,901,1,210,210
test,902,1,192,192
test,903,1,462,462
test,904,1,16,16
test,905,1,16,16
test,906,1,16,16
test,907,1,16,16
test,908,1,16,16
test,909,1,16,16
test,910,1,192,192
test,911,1,108,108
test,912,1,192,192
test,913,4,4644,1161|1161|1161|1161
test,914,1,108,108
test,915,1,16,16
test,916,1,16,16
test,917,1,132,132
test,918,1,16,16
test,919,1,192,192
test,920,1,16,16
test,921,1,110,110
test,922,1,49,49
test,923,1,108,108
test,924,1,112,112
test,925,1,609,609
test,926,1,756,756
test,927,1,208,208
test,928,1,108,108
test,929,1,1408,1408
test,930,1,16,16
test,931,1,798,798
test,932,1,588,588
test,933,1,256,256
test,934,1,240,240
test,935,1,96,96
test,936,1,308,308
test,937,1,221,221
test,938,1,256,256
test,939,1,224,224
test,940,1,16,16
test,941,1,1440,1440
test,942,1,192,192
test,943,1,1435,1435
test,944,1,256,256
test,945,1,144,144
test,946,1,525,525
test,947,1,16,16
test,948,1,70,70
test,949,1,15,15
test,950,1,192,192
test,951,1,756,756
test,952,1,36,36
test,953,1,400,400
test,954,1,304,304
test,955,1,120,120
test,956,1,108,108
test,957,1,108,108
test,958,1,108,108
test,959,1,240,240
test,960,1,108,108
test,961,1,192,192
test,962,1,192,192
test,963,1,108,108
test,964,1,108,108
test,965,1,108,108
test,966,1,144,144
test,967,1,16,16
test,968,1,108,108
test,969,1,16,16
test,970,1,192,192
test,971,1,120,120
test,972,1,120,120
test,973,1,108,108
test,974,0,0,
test,975,1,1400,1400
test,976,1,304,304
test,977,1,108,108
test,978,1,525,525
test,979,1,108,108
test,980,1,304,304
test,981,1,16,16
test,982,0,0,
test,983,1,16,16
test,984,1,768,768
test,985,1,108,108
test,986,1,120,120
test,987,1,208,208
test,988,1,408,408
test,989,1,16,16
test,990,1,272,272
test,991,1,64,64
test,992,0,0,
test,993,1,108,108
test,994,1,256,256
test,995,1,108,108
test,996,1,16,16
test,997,1,16,16
test,998,1,208,208
test,999,1,16,16
test,1000,1,400,400
test,1001,1,120,120
test,1002,0,0,
test,1003,1,16,16
test,1004,1,16,16
test,1005,1,224,224
test,1006,1,16,16
test,1007,2,854,368|486
test,1008,1,36,36
test,1009,1,192,192
test,1010,1,256,256
test,1011,1,96,96
test,1012,1,108,108
test,1013,1,676,676
test,1014,1,96,96
test,1015,1,16,16
test,1016,1,1404,1404
test,1017,1,1221,1221
test,1018,1,192,192
test,1019,1,525,525
test,1020,0,0,
test,1021,1,20,20
test,1022,1,1247,1247
test,1023,1,192,192
test,1024,1,120,120
test,1025,0,0,
test,1026,1,16,16
test,1027,1,192,192
test,1028,1,16,16
test,1029,1,192,192
test,1030,1,40,40
test,1031,1,770,770
test,1032,1,108,108
test,1033,1,525,525
test,1034,1,16,16
test,1035,1,108,108
test,1036,1,240,240
test,1037,1,192,192
test,1038,1,1440,1440
test,1039,1,108,108
test,1040,1,192,192
test,1041,1,525,525
test,1042,1,740,740
test,1043,1,108,108
test,1044,1,192,192
test,1045,1,192,192
test,1046,1,969,969
test,1047,1,128,128
test,1048,1,238,238
test,1049,1,16,16
test,1050,1,144,144
test,1051,1,144,144
test,1052,1,192,192
test,1053,1,12,12
test,1054,1,16,16
test,1055,1,192,192
test,1056,1,108,108
test,1057,1,560,560
test,1058,1,120,120
test,1059,1,16,16
test,1060,1,108,108
test,1061,1,108,108
test,1062,1,16,16
test,1063,1,690,690
test,1064,1,16,16
test,1065,1,16,16
test,1066,1,525,525
test,1067,1,510,510
test,1068,1,16,16
test,1069,1,120,120
test,1070,1,16,16
test,1071,1,192,192
test,1072,0,0,
test,1073,1,144,144
test,1074,1,16,16
test,1075,1,224,224
test,1076,1,20,20
test,1077,1,1426,1426
test,1078,1,16,16
test,1079,1,108,108
test,1080,1,108,108
test,1081,1,16,16
test,1082,1,120,120
test,1083,1,120,120
test,1084,1,108,108
test,1085,0,0,
test,1086,1,16,16
test,1087,1,192,192
test,1088,1,192,192
test,1089,1,16,16
test,1090,1,192,192
test,1091,1,540,540
test,1092,1,208,208
test,1093,1,1443,1443
test,1094,1,16,16
test,1095,1,192,192
test,1096,1,247,247
test,1097,1,108,108
test,1098,1,192,192
test,1099,1,132,132
test,1100,1,525,525
test,1101,1,16,16
test,1102,1,16,16
test,1103,1,108,108
test,1104,1,16,16
test,1105,0,0,
test,1106,1,108,108
test,1107,1,16,16
test,1108,1,980,980
test,1109,1,16,16
test,1110,1,128,128
test,1111,1,108,108
test,1112,1,132,132
test,1113,1,108,108
test,1114,1,735,735
test,1115,1,108,108
test,1116,1,256,256
test,1117,1,16,16
test,1118,1,16,16
test,1119,1,144,144
test,1120,1,192,192
test,1121,1,16,16
test,1122,1,256,256
test,1123,1,16,16
test,1124,1,49,49
test,1125,1,304,304
test,1126,1,980,980
test,1127,1,192,192
test,1128,1,238,238
test,1129,0,0,
test,1130,1,192,192
test,1131,1,108,108
test,1132,1,108,108
test,1133,1,16,16
test,1134,1,255,255
test,1135,1,16,16
test,1136,1,96,96
test,1137,1,361,361
test,1138,1,96,96
test,1139,1,256,256
test,1140,1,108,108
test,1141,1,108,108
test,1142,1,16,16
test,1143,1,1428,1428
test,1144,1,240,240
test,1145,1,256,256
test,1146,1,144,144
test,1147,0,0,
test,1148,1,81,81
test,1149,1,850,850
test,1150,1,108,108
test,1151,1,525,525
test,1152,1,400,400
test,1153,1,189,189
test,1154,1,224,224
test,1155,1,16,16
test,1156,1,234,234
test,1157,1,120,120
test,1158,1,117,117
test,1159,1,286,286
test,1160,1,144,144
test,1161,1,16,16
test,1162,1,207,207
test,1163,1,779,779
test,1164,1,16,16
test,1165,1,192,192
test,1166,1,16,16
test,1167,1,16,16
test,1168,1,768,768
test,1169,1,525,525
test,1170,1,192,192
test,1171,1,108,108
test,1172,1,1444,1444
test,1173,1,256,256
test,1174,0,0,
test,1175,1,84,84
test,1176,0,0,
test,1177,1,108,108
test,1178,1,108,108
test,1179,1,540,540
test,1180,0,0,
test,1181,1,16,16
test,1182,1,192,192
test,1183,1,1425,1425
test,1184,1,32,32
test,1185,1,192,192
test,1186,1,192,192
test,1187,1,16,16
test,1188,1,256,256
test,1189,1,192,192
test,1190,1,208,208
test,1191,1,128,128
test,1192,1,189,189
test,1193,1,108,108
test,1194,1,192,192
test,1195,1,120,120
test,1196,1,132,132
test,1197,1,160,160
test,1198,1,108,108
test,1199,1,192,192
test,1200,1,1008,1008
test,1201,1,108,108
test,1202,1,108,108
test,1203,1,189,189
test,1204,1,696,696
test,1205,1,42,42
test,1206,1,176,176
test,1207,0,0,
test,1208,1,16,16
test,1209,1,280,280
test,1210,1,224,224
test,1211,1,108,108
test,1212,1,304,304
test,1213,1,289,289
test,1214,1,525,525
test,1215,0,0,
test,1216,1,208,208
test,1217,1,190,190
test,1218,1,192,192
test,1219,1,192,192
test,1220,1,16,16
test,1221,1,242,242
test,1222,1,510,510
test,1223,1,16,16
test,1224,1,665,665
test,1225,1,1445,1445
test,1226,0,0,
test,1227,1,108,108
test,1228,1,16,16
test,1229,1,266,266
test,1230,1,108,108
test,1231,1,30,30
test,1232,1,1443,1443
test,1233,1,192,192
test,1234,1,192,192
test,1235,1,192,192
test,1236,1,16,16
test,1237,1,108,108
test,1238,1,192,192
test,1239,1,16,16
test,1240,1,525,525
test,1241,1,16,16
test,1242,1,147,147
test,1243,1,16,16
test,1244,1,168,168
test,1245,1,192,192
test,1246,1,120,120
test,1247,1,108,108
test,1248,1,16,16
test,1249,1,16,16
test,1250,1,40,40
test,1251,0,0,
test,1252,1,525,525
test,1253,1,120,120
test,1254,1,280,280
test,1255,1,144,144
test,1256,1,108,108
test,1257,0,0,
test,1258,1,408,408
test,1259,1,108,108
test,1260,1,108,108
test,1261,1,240,240
test,1262,1,208,208
test,1263,1,1435,1435
test,1264,1,216,216
test,1265,1,16,16
test,1266,1,525,525
test,1267,1,704,704
test,1268,1,192,192
test,1269,1,240,240
test,1270,1,108,108
test,1271,1,176,176
test,1272,0,0,
test,1273,1,15,15
test,1274,1,108,108
test,1275,1,256,256
test,1276,1,63,63
test,1277,1,486,486
test,1278,1,280,280
test,1279,1,16,16
test,1280,1,16,16
test,1281,1,120,120
test,1282,1,108,108
test,1283,1,1386,1386
test,1284,1,280,280
test,1285,1,120,120
test,1286,1,12,12
test,1287,1,208,208
test,1288,1,779,779
test,1289,1,525,525
test,1290,1,192,192
test,1291,1,16,16
test,1292,1,90,90
test,1293,1,16,16
test,1294,1,16,16
test,1295,1,16,16
test,1296,1,108,108
test,1297,1,144,144
test,1298,0,0,
test,1299,1,16,16
test,1300,1,16,16
test,1301,1,989,989
test,1302,1,16,16
test,1303,1,256,256
test,1304,0,0,
test,1305,1,400,400
test,1306,1,16,16
test,1307,1,16,16
test,1308,1,330,330
test,1309,0,0,
test,1310,1,16,16
test,1311,1,16,16
test,1312,1,144,144
test,1313,1,240,240
test,1314,1,238,238
test,1315,1,108,108
test,1316,1,16,16
test,1317,1,304,304
test,1318,1,120,120
test,1319,1,396,396
test,1320,1,192,192
test,1321,1,238,238
test,1322,1,16,16
test,1323,1,779,779
test,1324,1,108,108
test,1325,1,16,16
test,1326,1,144,144
test,1327,1,192,192
test,1328,1,304,304
test,1329,1,16,16
test,1330,1,192,192
test,1331,1,945,945
test,1332,1,20,20
test,1333,1,240,240
test,1334,1,1392,1392
test,1335,1,54,54
test,1336,1,192,192
test,1337,1,120,120
test,1338,1,192,192
test,1339,1,70,70
test,1340,1,108,108
test,1341,1,192,192
test,1342,1,1428,1428
test,1343,1,108,108
test,1344,1,150,150
test,1345,1,16,16
test,1346,1,255,255
test,1347,1,16,16
test,1348,1,108,108
test,1349,0,0,
test,1350,0,0,
test,1351,1,280,280
test,1352,1,286,286
test,1353,1,108,108
